sector  pad  layer noise_in_MeV
0  22  2  0.03207667202577584
0  25  2  0.028174729323178913
0  24  2  0.030642699917993142
0  27  2  0.025009201346986545
0  26  2  0.02737369114514151
0  29  2  0.02406643911520636
0  28  2  0.02419440899468147
0  31  2  0.02926621946777848
0  30  2  0.03327273622966042
0  33  2  0.03390755661895776
0  32  2  0.024785759401108127
0  35  2  0.02821068603311121
0  34  2  0.035908015549749706
0  37  2  0.03554860895068436
0  36  2  0.03751607228499618
0  39  2  0.03280199827784695
0  38  2  0.052151483685626145
0  41  2  0.03738529016187323
0  40  2  0.03773023312900953
0  43  2  0.032054978903972985
0  42  2  0.028780289817649057
0  45  2  0.04435002206693432
0  44  2  0.043817900907823414
0  47  2  0.03212449877651451
0  46  2  0.045318573666227754
0  49  2  0.03805290610385111
0  48  2  0.04337654380755316
0  51  2  0.0354738809610812
0  50  2  0.028667032461807133
0  53  2  0.041628481999586006
0  52  2  0.054833582559184045
0  55  2  0.04098391296419431
0  54  2  0.04388699510576812
0  57  2  0.04327684756045136
0  56  2  0.03738604614134844
0  59  2  0.03648967313625866
0  58  2  0.0490553825383476
0  61  2  0.05009099533232007
0  60  2  0.054095472112664245
0  63  2  0.04234813724254758
0  62  2  0.04974322616499176
-1  63  2  0.06595166802721307
-1  63  3  0.06826841408826828
3  63  3  0.036140344028961824
3  62  3  0.044469494622174616
3  61  3  0.04113044640977837
3  60  3  0.05665508034603764
3  59  3  0.04309834777635886
3  58  3  0.03976145166255064
3  57  3  0.053953353712790336
3  56  3  0.05566659456332701
3  55  3  0.03298969859733068
3  54  3  0.04195826458227701
3  53  3  0.035423453088059505
3  52  3  0.05009587391761715
3  51  3  0.030822008503392822
3  50  3  0.03380775386425554
3  49  3  0.03458902393771078
3  48  3  0.03815959088102153
3  47  3  0.035563252067275765
3  46  3  0.03131944591608974
3  45  3  0.026887342347298632
3  44  3  0.03415835538370723
3  43  3  0.04186410578551235
3  42  3  0.02716558179349747
3  41  3  0.03136396073032134
3  40  3  0.03395125176291996
3  39  3  0.032594537428260136
3  38  3  0.035239728879953976
3  37  3  0.02439464501472102
3  36  3  0.02681005959029505
3  35  3  0.022676106863180723
3  34  3  0.03135580068984177
3  33  3  0.03182615977040876
3  32  3  0.03613999431294126
3  31  3  0.027387303992297756
3  30  3  0.032264569154021094
3  29  3  0.0253810818202343
3  28  3  0.02511344370135086
3  27  3  0.028356147391853968
3  26  3  0.03705223303609378
3  25  3  0.020562241651637017
3  24  3  0.02247434313701496
3  23  3  0.021040305693503018
3  22  3  0.029691777885659267
3  21  3  0.029344655592258215
3  20  3  0.02473416098467506
3  19  3  0.029042507675808096
3  18  3  0.0445698182846862
3  17  3  0.02910835292552408
3  16  3  0.027720016192236505
3  15  3  0.037098810278138904
3  14  3  0.0470713280126279
3  13  3  0.0341278269685284
3  12  3  0.03682327440579127
3  11  3  0.03712565994979384
3  10  3  0.04293433096271925
3  9  3  0.02978060799664922
3  8  3  0.03730590717361808
3  7  3  0.03269520408148421
3  6  3  0.060770206694045495
3  5  3  0.045624095514648154
3  4  3  0.04031922629763983
3  3  3  0.03390717857725278
3  2  3  0.04676549238557643
3  1  3  0.05052076094843476
3  0  3  0.061431918723858704
2  0  3  0.07096836972371919
2  1  3  0.06973663403101998
2  2  3  0.05667852925356961
2  3  3  0.06740734599258469
2  4  3  0.05382573426652066
2  5  3  0.07215700067511582
2  6  3  0.04991331318781079
2  7  3  0.05487470747017087
2  8  3  0.051652917246050714
2  9  3  0.041920105184188164
2  10  3  0.05070687712445009
2  11  3  0.036974466056907886
2  12  3  0.02903546403647103
2  13  3  0.04893762342462144
2  14  3  0.042076899016941685
2  15  3  0.04378977221730291
2  16  3  0.030069937475884455
2  17  3  0.04176530652616726
2  18  3  0.029324289117599704
2  19  3  0.04053787503064408
2  20  3  0.030387264412688235
2  21  3  0.03345596644881108
2  22  3  0.028760831597176507
2  23  3  0.027311402165221477
2  24  3  0.03078267441815801
2  25  3  0.04476896362423651
2  26  3  0.0358553927252916
2  27  3  0.02977884372416093
2  28  3  0.033670544128652995
2  29  3  0.03146966912284173
2  30  3  0.025261064213872943
2  31  3  0.04183314695061591
2  32  3  0.026693673650300967
2  33  3  0.03476311750463489
2  34  3  0.027754292845789487
2  35  3  0.032398743533906794
2  36  3  0.03465409129345797
2  37  3  0.03211905814646913
2  38  3  0.026758245575019074
2  39  3  0.03539577844527916
2  40  3  0.03039304593587417
2  41  3  0.02619415363386629
2  42  3  0.027665137678241955
2  43  3  0.03865068632819185
2  44  3  0.028671176515061143
2  45  3  0.03417708088319239
2  46  3  0.02924309895659723
2  47  3  0.029625062829430615
2  48  3  0.032421564746017255
2  49  3  0.03322437822304635
2  50  3  0.033355062168034584
2  51  3  0.04357445475357136
2  52  3  0.035674212925412535
2  53  3  0.03717449241181767
2  54  3  0.03733652525957142
2  55  3  0.03542123597815998
